"Subject Code","Course Number","Course Title","Course Description","Credits - Academic Credit - Units","Credits - Academic Credit - Credit Hours Max","Credits - Academic Credit - Credit Hours Value","Credits - Academic Credit - Credit Hours Operator","Cross Listed Courses","Co-Convened Courses","Dual-Listed Courses","Equivalent Courses","Notes","Course Typically Offered"
"AAI","301","Career Readiness for Applied and Technical Professions","This course will allow students to synthesize career and academic opportunities related to their technical coursework into viable career pathways. Exploration of career interests and values will be accomplished through selected assessments, applied learning projects, and online resources. Identification of defined academic and career pathways are curated through evaluation, decision-making, and defining short and long-term career goals. Since the course is foundational for the degree completion program in Applied and Interdisciplinary Studies, it is assumed that a student will already have completed 30 credit hours or an associate’s degree completed.","3","3","-","-","-","-","-","-","-","Fall or Spring"
"AAI","841","Strategies in Preclinical and Clinical Research for Regulatory Affairs in Animal Health","In this course, students will review the history of regulations as well as gain an understanding of the integration of science into successful product approval outcomes. Students will learn how to achieve target claims for developing new products while ensuring safety. Students will also be introduced to the planning, design, and conduct of preclinical and clinical studies. The topics covered include protocol design and the evaluation and assessment of regulatory submissions. The course will consider practical issues in regulatory affairs. Students may participate in case study exercises.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"ACCTG","342","Taxation I","Fundamental concepts of income determination in federal and state income tax regulations; examination of the impact of tax regulation on business and personal financial planning and decision making.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"ACCTG","432","Cost Accounting","Identifying relevant accounting data and organizing, summarizing, and analyzing that data into information useful for planning and budgeting, decision making, controlling, and evaluating functions of management.","3","3","-","-","-","-","-","-","-","Fall, Spring"
"ACCTG","710","Foundations of Accounting","A study of business transactions, including identification of relevant economic events and how those events are recorded in financial statements, and a study of managerial accounting information for decision making, planning, and control.","3","3","-","-","-","-","-","-","Not open to Master of Accountancy students.","Fall"
"ACCTG","855","Financial Statement Analysis and Business Valuation","This course is about the analysis of financial information for making decisions to invest in businesses.  The methods of fundamental analysis will be examined in detail and applied in cases and projects involving listed companies.  Topics include models of shareholder value, a comparison of accrual accounting and discounted cash flow approaches to valuation, the analysis of profitability, growth and value generation in a firm, diagnosing accounting quality, forecasting earnings and cash flows, pro-forma analysis for strategy and planning, and the determination of price/earnings (P/E) and market-to-book (P/B) ratios. ","3","3","-","-","-","-","-","-","-","Fall, Spring, Summer"
"ACCTG","860","Management Accounting and Business Problem Solving","A study of managerial accounting information for decision making, planning, and control. ","3","3","-","-","-","-","-","-","Not open to Master of Accountancy students.","Fall"
"ACE","203","Introduction to Composite and Nonmetallic Structures","Introduces composite materials used in the design and production of legacy and modern aircraft. Topics include material characteristics, fabrication, and inspection; repair of non-metallic primary and secondary structures and materials using manufacturers' instructions. Materials include fabric, wood, fiberglass, plastics, honeycomb, and others. Students practice the selection, installation, application of protective coatings, and removal of special fasteners used in these structures. Laboratory exercises emphasize the fabrication and inspection of modern composite structures.","3","3","-","-","-","-","-","-","Two hours lecture and three hours lab a week.","Fall"
"AGEC","115","Decision Tools for Agricultural Economics and Agribusiness","Development of foundational computer-based empirical skills that address economic and business issues in food and agriculture. Students will learn how to model information on an issue or problem using mathematical spreadsheets to find relevant answers for decision makers and stakeholders.","2","2","-","-","-","-","-","-","Two hours recitation per week.","Fall, Spring"
"AGEC","308","Farm and Ranch Management","Decision-making process, cost concepts, farm records and financial management, budgeting, time value of money, and introduction to whole farm/ranch planning. ","3","3","-","-","-","-","-","-","Three hours recitation a week.","Fall"
"AGEC","480","Farm and Ranch Income Tax Management","This course introduces unique income tax provisions that apply to commercial agricultural producers. Students will better understand the importance of accounting records, the income tax impact of farm management decisions, and tools available to manage income taxes. Emphasis will also be placed on the importance of considering income taxes when planning for transition of the family farm or ranch from one generation to the next.","3","3","-","-","-","-","-","-","3 hours of lecture per week.","Fall"
"AGEC","500","Production Economics","Application of economic principles to problems of agricultural production. Analysis of consumer demand for agricultural products and input and output decisions of the agricultural firm. AGEC 505 is a continuation of this course and they are intended to be taken in consecutive semesters.","3","3","-","-","-","-","-","-","Three hours recitation a week.","Fall, Spring"
"AGEC","501","Data Analysis and Optimization","Analysis of agricultural business and economic data and optimization for decision making.  Study applications of regression, time series analysis and forecasting to agricultural and economic data. Introduction to mathematical programming to model optimization of problems commonly encountered in agricultural economics. ","3","3","-","-","-","-","-","-","Three hours recitation per week.","Fall, Spring"
"AGEC","516","Agricultural Law and Economics","The legal framework for decision making by farm firms, families, and individuals; liabilities, real and personal property, contracts, uniform commercial code, organization of farm firms, intergeneration property transfers, water law, fence law, federal and state regulatory power, insurance, income tax, and social security. ","3","3","-","-","-","-","-","-","Three hours recitation a week.","Spring"
"AGEC","560","Data Analytics for Agricultural Economics","Advanced collection and applied analysis of agricultural business and economics data for decision making.  Applied communication of results and implications.","3","3","-","-","-","-","-","-","Students who have not completed AGEC 501 may secure instructor consent if they can verify a working knowledge of regression.","Fall, Spring"
"AGEC","598","Farm Management Strategy","A study of management concepts, tools, and decision strategies applied to farm firms. Alternative measures of farm business performances, as well as planning and evaluation techniques for an uncertain environment, are examined. ","3","3","-","-","-","-","-","-","-","Fall, Spring"
"AGEC","599","Food and Agribusiness Management Strategy","This course integrates the risk, production, marketing, and financial management strategies of agribusiness firms. Special attention is given to the application of economic theory and quantitative analysis to business decision-making processes. In addition to case studies, a variety of analytical techniques will focus on both markets and firms involved in the production and marketing of food commodities. ","3","3","-","-","-","-","-","-","Three hours lecture a week.","Fall, Spring"
